company_name,region,country,category,priority,email,greeting,specific_hardware,ask_type,company_note,contact_url,source_url,status,next_action,notes
"Seeed Studio","Global","China","Open hardware, Grove, sensors, edge AI","high","","Seeed Education team","Grove sensors, XIAO boards, reComputer Jetson, SenseCAP, LiDAR modules","free samples, education sponsorship, collaboration","Seeed Education states educators and students can apply for free samples or sponsorship.","https://education.seeedstudio.com/","https://education.seeedstudio.com/","not_contacted","Submit education collaboration form","High priority because sponsorship route is explicit."
"DFRobot","Global","China","Open-source robotics and STEM kits","high","","DFRobot education team","Gravity sensors, LattePanda, robotics kits, STEM education kits","education samples, distributor connection, classroom kit discount","DFRobot has STEM education offerings and a contact page for orders, distributors, and tech support.","https://www.dfrobot.com/contact-us","https://www.dfrobot.com/education","not_contacted","Use contact form and education angle","Good for structured student tutorials."
"SparkFun","Global","United States","Open-source electronics and STEM kits","high","edusales@sparkfun.com","SparkFun education team","SparkFun Inventor kits, sensors, XRP robotics kits, micro:bit robotics kits","community partnership, hardware donation, education pricing","SparkFun Education lists a higher-education contact and community partnership program for hardware donations in exchange for content.","https://sparkfuneducation.com/higher-ed/contact-us.html","https://sparkfuneducation.com/higher-ed/contact-us.html","not_contacted","Email education sales with manufacturer template","Very strong match for give-to-get content."
"REV Robotics","Global","United States","FTC/FRC robotics hardware","high","education@revrobotics.com","REV Education team","FTC control system, motors, servos, structural parts, education kits","sponsorship, education partnership, discount","REV has education partnership contact and a sponsorship page for STEM programs worldwide.","https://www.revrobotics.com/educational-partnerships/","https://www.revrobotics.com/sponsorship/","not_contacted","Email education contact","Mention VEX/FTC-style advanced build pipeline carefully."
"goBILDA","Global","United States","Robot build system and FTC parts","high","Marketing@gobilda.com","goBILDA marketing team","goBILDA channels, motors, mecanum chassis, odometry, FTC starter kits","sponsorship, team discount, education pricing","goBILDA support page lists marketing for sponsorship questions and sales for distributor or purchase questions.","https://www.gobilda.com/support","https://www.gobilda.com/support","not_contacted","Email marketing for sponsorship and sales for quote","Good for competition robotics kits."
"Pololu","Global","United States","Motors, motor drivers, sensors, robot electronics","medium","inbox@pololu.com","Pololu team","motor drivers, gear motors, sensors, robot controllers, wheels","samples, education discount, technical feedback","Pololu publishes general, support, and project contact routes and welcomes project information and suggestions.","https://www.pololu.com/contact","https://www.pololu.com/contact","not_contacted","Email concise project/testbed pitch","Ask modestly and include specific part list."
"ROBOTIS","Global","South Korea/United States","DYNAMIXEL smart servos and robot kits","high","america@robotis.com","ROBOTIS team","DYNAMIXEL servos, OpenManipulator-X, TurtleBot3, ROBOTIS kits","sample units, education pricing, competition support","ROBOTIS is the sole manufacturer of DYNAMIXEL smart servos and lists contact for more information.","https://www.robotis.us/dynamixel-system/","https://www.robotis.us/dynamixel-system/","not_contacted","Email for education or distributor route","Strong fit for advanced kinematics and robot arms."
"Cytron Technologies","Global","Malaysia","Robotics and embedded boards","high","","Cytron sponsorship team","motor drivers, Maker boards, robotics controller boards, STEM kits","hardware sponsorship, special discounts, content support","Cytron has a sponsorship program for STEM competitions, education initiatives, and robotics hardware support.","https://my.cytron.io/community-sponsorship","https://my.cytron.io/community-sponsorship","not_contacted","Apply through sponsorship form","Very strong explicit sponsorship route."
"Luxonis","Global","United States","OAK spatial AI cameras","high","orders@luxonis.com","Luxonis sales team","OAK-D cameras, DepthAI devices, robotics vision kits","sample camera, education discount, distributor connection","Luxonis sells worldwide and lists India distributors and a sales contact on its distributor page.","https://www.luxonis.com/distributors","https://www.luxonis.com/distributors","not_contacted","Email sales and mention India distributors","Strong fit for edge AI and computer vision."
"Stereolabs","Global","United States/France","ZED depth cameras and robotics vision","medium","support@stereolabs.com","Stereolabs team","ZED depth cameras, wrist-mount stereo cameras, SDK access","education discount, evaluation unit, robotics test report","Stereolabs positions its cameras for autonomous robotics and provides email support contact.","https://support.stereolabs.com/hc/en-us/articles/207905225-Do-you-have-a-phone-number-I-can-call","https://www.stereolabs.com/en-gb","not_contacted","Email support and ask for sales/education routing","Use specific vision project proposal."
"SLAMTEC","Global","China","LiDAR and robot navigation","high","sales@slamtec.com","SLAMTEC sales team","RPLIDAR A/S series, Hermes platform, robot localization products","LiDAR sample, education discount, technical feedback","SLAMTEC lists RPLIDAR products, support email, and sales email for robot localization and navigation solutions.","https://www.slamtec.com/en","https://www.slamtec.com/en","not_contacted","Email sales with 30-day LiDAR test plan","Strong autonomous navigation pitch."
"Ouster","Global","United States","Digital LiDAR sensors","medium","","Ouster sales team","OS series LiDAR, robotics and drone LiDAR, SDK access","evaluation unit, education pricing, case-study pilot","Ouster provides sales and technical support routes for robotics and drones LiDAR products.","https://ouster.com/company/contact-us","https://ouster.com/company/contact-us","not_contacted","Use Talk to Sales contact form","Ask for academic/evaluation route, not donation first."
"Bambu Lab","Global","China","3D printers and filaments","high","contact@bambulab.com","Bambu Lab team","A1/P1/X1 printers, filament, spare parts, school ambassador or lab bundles","education discount, sample printer, refurbished printer, filament sponsorship","Bambu Lab publishes contact routes for marketing, business purchases, distributors, and feedback.","https://bambulab.com/en/contact-us","https://bambulab.com/en/contact-us","not_contacted","Email contact and use business/marketing contact route","Also try B2B purchase form for lab bundle."
"Creality","Global","China","3D printers, scanners, filaments","medium","","Creality education team","K-series printers, Ender printers, scanners, filament, education kits","education solution, printer sponsorship, lab discount","Creality has an education page with a contact form and examples of education partnerships and donations.","https://www.creality.com/education","https://www.creality.com/education","not_contacted","Use education form","Position around robotics rapid prototyping."
"Microchip","Global","United States","MCUs, analog, embedded tools","high","","Microchip Academic Program team","Curiosity Nano, PIC/AVR/SAM boards, sensors, samples, training","academic program, tool samples, academic discount","Microchip Academic Program offers educator benefits including tool samples, consultations, training, and discounts.","https://www.microchip.com/en-us/education/academic-program","https://www.microchip.com/en-us/education/academic-program","not_contacted","Register for academic program","Use school/lab domain if available."
"STMicroelectronics","Global","Europe","MCUs, sensors, motor control","medium","","ST sales or university support team","STM32 Nucleo, sensor boards, motor-control kits","samples, local sales/distributor connection, workshop support","ST provides contact routes for local sales offices, distributors, and online support.","https://www.st.com/contact","https://www.st.com/contact","not_contacted","Use India sales/distributor route","Ask for STM32 robotics workshop support."
"NXP Semiconductors","Global","Netherlands","MCUs, robotics and automotive chips","medium","","NXP university or samples team","FRDM boards, i.MX evaluation kits, motor-control and sensor boards","samples, NXP Cup route, education support","NXP sample FAQ describes sample ordering and representative contact for sample program questions.","https://www.nxp.com/support/sample-and-buy%3ASAMPLE-BUY","https://nxpcup.nxp.com/support/sample-and-buy/how-to-buy-from-nxp/buy-from-nxp-and-samples-faq%3AWTOBUY_FAQ","not_contacted","Use sample request and representative contact","Frame around autonomous model robots."
"Texas Instruments","Global","United States","Analog, sensors, motor control, embedded","medium","","TI sales support team","TI LaunchPad, motor drivers, sensors, power modules, calculators if relevant","samples, sales support, education resources","TI provides education/contact and sales support routes for implementation needs.","https://education.ti.com/en/contact-us","https://education.ti.com/en/contact-us","not_contacted","Use sales support contact","Specific part list will matter."
"NVIDIA Jetson","Global","United States","Edge AI compute","high","","NVIDIA Jetson partner team","Jetson Orin Nano, Jetson ecosystem partner hardware, robotics SDKs","partner introduction, education pricing, developer kit support","NVIDIA Developer has Jetson partner contact routes and the Jetson ecosystem is central for robotics AI.","https://developer.nvidia.com/contact?category=Jetson+Partner","https://developer.nvidia.com/contact?category=Jetson+Partner&subject=e-con+Systems","not_contacted","Use Jetson partner contact and ask for India reseller/developer kit route","Pair with e-con, Luxonis, Seeed, and ThinkRobotics."
